idalumno,dni_alumno,email_alumno,celular_alumno,apellido_alumno,nombre_alumno,direccion_alumno,fecha_nac_alumno,fk_idtutor_alumno,fk_idgenero_alumno,createdAt,updatedAt,estado_alumno
1,5108753566558254,nshorte0@csmonitor.com,5223427416,Shorte,Nate,09 Prentice Crossing,2010-12-24,NULL,2,2022-08-25,,1
2,5108759784816945,tdureden1@examiner.com,7161999819,Dureden,Teresina,96 Bluejay Road,2010-01-04,NULL,2,2023-04-09,,1
3,5048372079062713,wrowen2@gmpg.org,1333574726,Rowen,Westley,85 1st Point,2010-10-16,NULL,1,2023-05-08,2023-10-02,1
4,5108751329343345,wcasoni3@scribd.com,1892643641,Casoni,Wandie,12087 Arrowood Court,2010-02-27,NULL,2,2022-10-31,2023-10-22,1
5,5108750080964273,dchaffer4@foxnews.com,1397776531,Chaffer,Derrik,762 Oak Valley Park,2008-04-27,NULL,1,2023-04-14,,1
6,5108758913643113,emckaile5@miibeian.gov.cn,6877153878,McKaile,Eva,52 Fuller Junction,2009-07-03,NULL,2,2023-06-28,,1
7,5108759877592189,mlocal6@imageshack.us,4206872080,Local,Mehetabel,98 Dahle Plaza,2010-03-11,NULL,2,2023-08-08,,1
8,5048377337331032,homand7@netvibes.com,8736251012,Omand,Hendrick,7 Arizona Drive,2009-12-16,NULL,3,2023-01-27,,1
9,5108753494205085,athraves8@imdb.com,8272726911,Thraves,Angel,836 Veith Place,2009-07-21,NULL,3,2023-05-23,,1
10,5048376014901893,flefley9@mysql.com,9381302007,Lefley,Finley,79408 Burrows Lane,2009-11-26,NULL,1,2023-06-23,,1
11,5048371395652116,hfreemantlea@baidu.com,1452529203,Freemantle,Hurleigh,0933 Packers Court,2008-08-09,NULL,2,2023-07-01,,1
12,5048370637798414,esandbachb@csmonitor.com,1336859761,Sandbach,Eric,2285 Basil Park,2010-02-25,NULL,3,2022-12-25,,1
13,5048373763904665,kjeppc@homestead.com,3989962276,Jepp,Kippie,36551 Grasskamp Trail,2010-12-07,NULL,2,2023-01-24,,1
14,5108751836827871,pclaraed@cbsnews.com,7856703092,Clarae,Packston,1040 Eastwood Point,2008-12-12,NULL,3,2023-01-04,,1
15,5108752495759223,ghaselupe@youku.com,8538034368,Haselup,Gray,014 Eastwood Plaza,2009-03-03,NULL,3,2023-08-07,,1
16,5108756939300841,eperfectf@twitpic.com,9595458713,Perfect,Easter,43 Florence Junction,2009-03-11,NULL,1,2022-08-22,,1
17,5108754026561946,dwildtg@gmpg.org,6048320004,Wildt,Dionysus,1 Rigney Crossing,2010-09-06,NULL,1,2022-09-30,,1
18,5048376940066795,mstrobanh@wordpress.org,8659364480,Stroban,Monique,3 Morningstar Alley,2008-06-04,NULL,3,2023-02-25,,1
19,5048376738522116,mpawseyi@last.fm,3944505750,Pawsey,Muire,4 Mendota Avenue,2010-02-16,NULL,2,2022-11-09,,1
20,5048372413575669,ikaasmannj@nature.com,8434045726,Kaasmann,Irvin,97440 Homewood Street,2009-07-26,NULL,3,2022-10-24,,1
21,5108756887930797,kedmondsonk@webs.com,7197218493,Edmondson,Kelcy,736 Darwin Road,2010-03-29,NULL,2,2023-07-15,,1
22,5048373378155216,dbuickl@a8.net,9383882654,Buick,Dionis,4220 Bay Crossing,2008-03-27,NULL,1,2023-07-22,,1
23,5108756040110113,hhonnicottm@godaddy.com,9948771617,Honnicott,Harrietta,2563 Bashford Pass,2010-07-24,NULL,2,2023-05-03,2023-11-23,1
24,5108750033368242,ascrigmourn@ebay.co.uk,8234533455,Scrigmour,Avictor,2 Knutson Alley,2009-07-09,NULL,2,2023-05-25,,1
25,5108751435558745,gmaplesdeno@ca.gov,1128155523,Maplesden,Gale,37500 Crest Line Drive,2009-08-24,NULL,2,2023-06-21,,1
26,5048373364984355,tchiecop@nationalgeographic.com,4389070402,Chieco,Thornton,96203 Judy Trail,2008-12-05,NULL,2,2022-09-27,2024-07-13,1
27,5048379589228999,ltinkhamq@edublogs.org,3369908157,Tinkham,Lani,75293 7th Point,2010-11-22,NULL,1,2023-03-05,,1
28,5048370440086452,kcrosdillr@hhs.gov,9192852180,Crosdill,Kristofor,95 Milwaukee Drive,2008-05-14,NULL,3,2023-04-04,,1
29,5108756744829497,aburgnes@oakley.com,7908059183,Burgne,Anastasie,82 Jay Lane,2009-06-11,NULL,3,2023-07-30,,1
30,5108753727265526,alydstert@yandex.ru,5445204770,Lydster,Ali,38755 Coleman Circle,2008-10-04,NULL,2,2023-04-28,2023-10-28,1
